Gemnr,Gemeente,Aantal,BevAant,Aantal per 100.000 inwoners
-1,Unknown,112,,
518,'s-Gravenhage,36,537833.0,6.7
796,'s-Hertogenbosch,38,154205.0,24.6
1680,Aa en Hunze,0,25386.0,0.0
358,Aalsmeer,5,31728.0,15.8
197,Aalten,1,27011.0,3.7
59,Achtkarspelen,0,27852.0,0.0
482,Alblasserdam,3,20069.0,14.9
613,Albrandswaard,5,25271.0,19.8
361,Alkmaar,10,108558.0,9.2
141,Almelo,3,72849.0,4.1
34,Almere,5,207904.0,2.4
484,Alphen aan den Rijn,13,110986.0,11.7
1723,Alphen-Chaam,6,10149.0,59.1
1959,Altena,19,55386.0,34.3
60,Ameland,0,3673.0,0.0
307,Amersfoort,32,156286.0,20.5
362,Amstelveen,22,90838.0,24.2
363,Amsterdam,127,862965.0,14.7
200,Apeldoorn,13,162445.0,8.0
3,Appingedam,0,11721.0,0.0
202,Arnhem,13,159265.0,8.2
106,Assen,1,67963.0,1.5
743,Asten,2,16710.0,12.0
744,Baarle-Nassau,1,6847.0,14.6
308,Baarn,1,24767.0,4.0
489,Barendrecht,5,48673.0,10.3
203,Barneveld,8,57971.0,13.8
888,Beek,5,15929.0,31.4
1954,Beekdaelen,19,35727.0,53.2
370,Beemster,0,9748.0,0.0
889,Beesel,1,13519.0,7.4
1945,Berg en Dal,20,34798.0,57.5
1724,Bergeijk,1,18491.0,5.4
893,Bergen (L),1,13140.0,7.6
373,Bergen (NH),4,29974.0,13.3
748,Bergen op Zoom,8,66811.0,12.0
1859,Berkelland,1,43904.0,2.3
1721,Bernheze,37,30806.0,120.1
753,Best,8,29821.0,26.8
209,Beuningen,8,25882.0,30.9
375,Beverwijk,6,41176.0,14.6
1728,Bladel,6,20175.0,29.7
376,Blaricum,3,11202.0,26.8
377,Bloemendaal,3,23410.0,12.8
1901,Bodegraven-Reeuwijk,1,34462.0,2.9
755,Boekel,25,10588.0,236.1
1681,Borger-Odoorn,0,25372.0,0.0
147,Borne,3,23210.0,12.9
654,Borsele,3,22800.0,13.2
756,Boxmeer,5,29065.0,17.2
757,Boxtel,6,30747.0,19.5
758,Breda,121,183873.0,65.8
501,Brielle,1,17182.0,5.8
1876,Bronckhorst,5,36212.0,13.8
213,Brummen,1,20698.0,4.8
899,Brunssum,6,28103.0,21.4
312,Bunnik,2,15192.0,13.2
313,Bunschoten,0,21576.0,0.0
214,Buren,5,26568.0,18.8
502,Capelle aan den IJssel,3,66818.0,4.5
383,Castricum,6,35772.0,16.8
109,Coevorden,13,35483.0,36.6
1706,Cranendonck,8,20440.0,39.1
1684,Cuijk,4,24931.0,16.0
216,Culemborg,4,28555.0,14.0
148,Dalfsen,4,28499.0,14.0
1891,Dantumadiel,0,18923.0,0.0
310,De Bilt,18,42824.0,42.0
1940,De Fryske Marren,6,51430.0,11.7
736,De Ronde Venen,3,44059.0,6.8
