,Gemnr,Gemeente,Aantal,BevAant,Aantal per 100.000 inwoners
0,-1,Unknown,305,,
1,796,'s-Hertogenbosch,131,155113.0,84.5
2,1680,Aa en Hunze,4,25453.0,15.7
3,358,Aalsmeer,17,31857.0,53.4
4,197,Aalten,5,27117.0,18.4
5,59,Achtkarspelen,2,27836.0,7.2
6,482,Alblasserdam,7,20165.0,34.7
7,613,Albrandswaard,24,25589.0,93.8
8,361,Alkmaar,45,109444.0,41.1
9,141,Almelo,19,73080.0,26.0
10,34,Almere,57,211840.0,26.9
11,484,Alphen aan den Rijn,41,111889.0,36.6
12,1723,Alphen-Chaam,24,10213.0,235.0
13,1959,Altena,41,55980.0,73.2
14,60,Ameland,0,3718.0,0.0
15,307,Amersfoort,68,157279.0,43.2
16,362,Amstelveen,75,91691.0,81.8
17,363,Amsterdam,530,872779.0,60.7
18,200,Apeldoorn,53,163829.0,32.4
19,3,Appingedam,1,11644.0,8.6
20,202,Arnhem,59,161368.0,36.6
21,106,Assen,12,68606.0,17.5
22,743,Asten,15,16734.0,89.6
23,744,Baarle-Nassau,3,6860.0,43.7
24,308,Baarn,7,24873.0,28.1
25,489,Barendrecht,29,48713.0,59.5
26,203,Barneveld,20,59077.0,33.9
27,888,Beek,15,15868.0,94.5
28,1954,Beekdaelen,39,35976.0,108.4
29,370,Beemster,4,10025.0,39.9
30,889,Beesel,15,13483.0,111.3
31,1945,Berg en Dal,64,34990.0,182.9
32,1724,Bergeijk,14,18638.0,75.1
33,893,Bergen (L.),2,13085.0,15.3
34,373,Bergen (NH.),22,29844.0,73.7
35,748,Bergen op Zoom,17,67489.0,25.2
36,1859,Berkelland,5,43748.0,11.4
37,1721,Bernheze,104,31247.0,332.8
38,753,Best,25,29985.0,83.4
39,209,Beuningen,23,25891.0,88.8
40,375,Beverwijk,20,41613.0,48.1
41,1728,Bladel,18,20395.0,88.3
42,376,Blaricum,6,11536.0,52.0
43,377,Bloemendaal,19,23570.0,80.6
44,1901,Bodegraven-Reeuwijk,11,34869.0,31.5
45,755,Boekel,59,10784.0,547.1
46,1681,Borger-Odoorn,2,25558.0,7.8
47,147,Borne,19,23313.0,81.5
48,654,Borsele,7,22738.0,30.8
49,756,Boxmeer,19,29371.0,64.7
50,757,Boxtel,24,30803.0,77.9
51,758,Breda,237,184271.0,128.6
52,501,Brielle,11,17282.0,63.7
53,1876,Bronckhorst,11,36052.0,30.5
54,213,Brummen,8,20756.0,38.5
55,899,Brunssum,26,27817.0,93.5
56,312,Bunnik,10,15191.0,65.8
57,313,Bunschoten,4,21867.0,18.3
58,214,Buren,8,26742.0,29.9
59,502,Capelle aan den IJssel,42,67151.0,62.5
60,383,Castricum,20,35988.0,55.6
61,109,Coevorden,20,35296.0,56.7
62,1706,Cranendonck,55,21166.0,259.9
63,1684,Cuijk,10,25139.0,39.8
64,216,Culemborg,18,28956.0,62.2
65,148,Dalfsen,16,28585.0,56.0
66,1891,Dantumadiel,3,18916.0,15.9
67,310,De Bilt,39,43124.0,90.4
68,1940,De Fryske Marren,21,51567.0,40.7
69,736,De Ronde Venen,19,44457.0,42.7
70,1690,De Wolden,7,24327.0,28.8
71,503,Delft,32,103659.0,30.9
72,10,Delfzijl,7,24666.0,28.4
73,400,Den Helder,11,56305.0,19.5
74,762,Deurne,53,32474.0,163.2
75,150,Deventer,46,100718.0,45.7
76,384,Diemen,8,30781.0,26.0
77,1774,Dinkelland,32,26470.0,120.9
78,221,Doesburg,6,11078.0,54.2
79,222,Doetinchem,23,58009.0,39.6
80,766,Dongen,18,26226.0,68.6
81,505,Dordrecht,42,119300.0,35.2
82,498,Drechterland,5,19717.0,25.4
