,Gemnr,Gemeente,Aantal,BevAant,Aantal per 100.000 inwoners
0,796,'s-Hertogenbosch,84,155113,54.2
1,1680,Aa en Hunze,1,25453,3.9
2,358,Aalsmeer,7,31857,22.0
3,197,Aalten,1,27117,3.7
4,59,Achtkarspelen,0,27836,0.0
5,482,Alblasserdam,5,20165,24.8
6,613,Albrandswaard,5,25589,19.5
7,361,Alkmaar,34,109444,31.1
8,141,Almelo,14,73080,19.2
9,34,Almere,77,211840,36.3
10,484,Alphen aan den Rijn,38,111889,34.0
11,1723,Alphen-Chaam,11,10213,107.7
12,1959,Altena,21,55980,37.5
13,60,Ameland,0,3718,0.0
14,307,Amersfoort,36,157279,22.9
15,362,Amstelveen,37,91691,40.4
16,363,Amsterdam,323,872779,37.0
17,200,Apeldoorn,28,163829,17.1
18,3,Appingedam,2,11644,17.2
19,202,Arnhem,40,161368,24.8
20,106,Assen,7,68606,10.2
21,743,Asten,8,16734,47.8
22,744,Baarle-Nassau,1,6860,14.6
23,308,Baarn,7,24873,28.1
24,489,Barendrecht,21,48713,43.1
25,203,Barneveld,9,59077,15.2
26,888,Beek,10,15868,63.0
27,1954,Beekdaelen,32,35976,88.9
28,370,Beemster,4,10025,39.9
29,889,Beesel,11,13483,81.6
30,1945,Berg en Dal,25,34990,71.4
31,1724,Bergeijk,9,18638,48.3
32,893,Bergen (L.),4,13085,30.6
33,373,Bergen (NH.),11,29844,36.9
34,748,Bergen op Zoom,14,67489,20.7
35,1859,Berkelland,1,43748,2.3
36,1721,Bernheze,70,31247,224.0
37,753,Best,24,29985,80.0
38,209,Beuningen,15,25891,57.9
39,375,Beverwijk,10,41613,24.0
40,1728,Bladel,12,20395,58.8
41,376,Blaricum,5,11536,43.3
42,377,Bloemendaal,4,23570,17.0
43,1901,Bodegraven-Reeuwijk,5,34869,14.3
44,755,Boekel,27,10784,250.4
45,1681,Borger-Odoorn,2,25558,7.8
46,147,Borne,13,23313,55.8
47,654,Borsele,3,22738,13.2
48,756,Boxmeer,14,29371,47.7
49,757,Boxtel,11,30803,35.7
50,758,Breda,126,184271,68.4
51,501,Brielle,7,17282,40.5
52,1876,Bronckhorst,1,36052,2.8
53,213,Brummen,6,20756,28.9
54,899,Brunssum,25,27817,89.9
55,312,Bunnik,6,15191,39.5
