,Gemnr,Gemeente,Meldingen,Zkh opname,BevAant,Meldingen per 100.000,Zkh opname per 100.000
0,796,'s-Hertogenbosch,235,101,155113,151.5,65.1
1,1680,Aa en Hunze,7,1,25453,27.5,3.9
2,358,Aalsmeer,24,8,31857,75.3,25.1
3,197,Aalten,17,1,27117,62.7,3.7
4,59,Achtkarspelen,5,0,27836,18.0,0.0
5,482,Alblasserdam,16,7,20165,79.3,34.7
6,613,Albrandswaard,41,6,25589,160.2,23.4
7,361,Alkmaar,116,37,109444,106.0,33.8
8,141,Almelo,47,15,73080,64.3,20.5
9,34,Almere,131,83,211840,61.8,39.2
10,484,Alphen aan den Rijn,78,43,111889,69.7,38.4
11,1723,Alphen-Chaam,39,15,10213,381.9,146.9
12,1959,Altena,67,24,55980,119.7,42.9
13,60,Ameland,0,0,3718,0.0,0.0
14,307,Amersfoort,100,42,157279,63.6,26.7
15,362,Amstelveen,155,38,91691,169.0,41.4
16,363,Amsterdam,939,340,872779,107.6,39.0
17,200,Apeldoorn,123,30,163829,75.1,18.3
18,3,Appingedam,2,2,11644,17.2,17.2
19,202,Arnhem,111,48,161368,68.8,29.7
20,106,Assen,22,9,68606,32.1,13.1
21,743,Asten,27,9,16734,161.3,53.8
22,744,Baarle-Nassau,3,1,6860,43.7,14.6
23,308,Baarn,20,7,24873,80.4,28.1
24,489,Barendrecht,56,22,48713,115.0,45.2
25,203,Barneveld,53,10,59077,89.7,16.9
26,888,Beek,22,11,15868,138.6,69.3
27,1954,Beekdaelen,57,35,35976,158.4,97.3
28,370,Beemster,7,4,10025,69.8,39.9
29,889,Beesel,23,14,13483,170.6,103.8
30,1945,Berg en Dal,106,27,34990,302.9,77.2
31,1724,Bergeijk,28,9,18638,150.2,48.3
32,893,Bergen (L.),8,5,13085,61.1,38.2
33,373,Bergen (NH.),37,15,29844,124.0,50.3
34,748,Bergen op Zoom,38,15,67489,56.3,22.2
35,1859,Berkelland,15,2,43748,34.3,4.6
36,1721,Bernheze,165,75,31247,528.1,240.0
37,753,Best,41,25,29985,136.7,83.4
38,209,Beuningen,36,17,25891,139.0,65.7
39,375,Beverwijk,47,10,41613,112.9,24.0
40,1728,Bladel,35,13,20395,171.6,63.7
41,376,Blaricum,11,5,11536,95.4,43.3
42,377,Bloemendaal,33,5,23570,140.0,21.2
43,1901,Bodegraven-Reeuwijk,19,5,34869,54.5,14.3
44,755,Boekel,72,28,10784,667.7,259.6
45,1681,Borger-Odoorn,3,2,25558,11.7,7.8
46,147,Borne,34,13,23313,145.8,55.8
47,654,Borsele,12,4,22738,52.8,17.6
48,756,Boxmeer,48,16,29371,163.4,54.5
49,757,Boxtel,34,13,30803,110.4,42.2
50,758,Breda,321,129,184271,174.2,70.0
51,501,Brielle,20,8,17282,115.7,46.3
52,1876,Bronckhorst,18,2,36052,49.9,5.5
53,213,Brummen,17,8,20756,81.9,38.5
54,899,Brunssum,45,28,27817,161.8,100.7
55,312,Bunnik,18,7,15191,118.5,46.1
56,313,Bunschoten,19,3,21867,86.9,13.7
57,214,Buren,19,7,26742,71.0,26.2
58,502,Capelle aan den IJssel,115,27,67151,171.3,40.2
59,383,Castricum,47,13,35988,130.6,36.1
60,109,Coevorden,31,9,35296,87.8,25.5
61,1706,Cranendonck,93,48,21166,439.4,226.8
62,1684,Cuijk,32,9,25139,127.3,35.8
63,216,Culemborg,36,20,28956,124.3,69.1
64,148,Dalfsen,37,15,28585,129.4,52.5
65,1891,Dantumadiel,6,2,18916,31.7,10.6
66,310,De Bilt,68,19,43124,157.7,44.1
67,1940,De Fryske Marren,34,12,51567,65.9,23.3
68,736,De Ronde Venen,49,23,44457,110.2,51.7
69,1690,De Wolden,20,5,24327,82.2,20.6
70,503,Delft,62,31,103659,59.8,29.9
71,10,Delfzijl,12,5,24666,48.6,20.3
72,400,Den Helder,18,8,56305,32.0,14.2
73,762,Deurne,91,46,32474,280.2,141.7
74,150,Deventer,87,32,100718,86.4,31.8
75,384,Diemen,17,4,30781,55.2,13.0
76,1774,Dinkelland,51,16,26470,192.7,60.4
77,221,Doesburg,10,4,11078,90.3,36.1
78,222,Doetinchem,40,8,58009,69.0,13.8
79,766,Dongen,45,13,26226,171.6,49.6
80,505,Dordrecht,112,56,119300,93.9,46.9
81,498,Drechterland,26,2,19717,131.9,10.1
82,1719,Drimmelen,35,16,27274,128.3,58.7
83,303,Dronten,37,16,41569,89.0,38.5
84,225,Druten,37,16,18918,195.6,84.6
85,226,Duiven,21,9,25124,83.6,35.8
86,1711,Echt-Susteren,52,32,31618,164.5,101.2
87,385,Edam-Volendam,31,16,36201,85.6,44.2
88,228,Ede,96,44,117166,81.9,37.6
89,317,Eemnes,7,1,9247,75.7,10.8
90,770,Eersel,36,18,19314,186.4,93.2
91,1903,Eijsden-Margraten,87,37,25753,337.8,143.7
92,772,Eindhoven,253,94,234456,107.9,40.1
93,230,Elburg,41,8,23161,177.0,34.5
94,114,Emmen,36,13,107055,33.6,12.1
95,388,Enkhuizen,23,16,18592,123.7,86.1
96,153,Enschede,117,42,159734,73.2,26.3
97,232,Epe,55,14,33186,165.7,42.2
98,233,Ermelo,49,15,27005,181.4,55.5
99,777,Etten-Leur,91,33,43880,207.4,75.2
100,779,Geertruidenberg,17,9,21538,78.9,41.8
101,1771,Geldrop-Mierlo,55,20,39733,138.4,50.3
102,1652,Gemert-Bakel,119,62,30725,387.3,201.8
103,907,Gennep,32,13,16924,189.1,76.8
104,784,Gilze en Rijen,45,16,26438,170.2,60.5
105,1924,Goeree-Overflakkee,185,40,50049,369.6,79.9
106,664,Goes,34,8,38080,89.3,21.0
107,785,Goirle,50,24,23906,209.2,100.4
108,1942,Gooise Meren,52,20,58041,89.6,34.5
109,512,Gorinchem,82,13,37009,221.6,35.1
110,513,Gouda,94,26,73443,128.0,35.4
111,786,Grave,36,16,12437,289.5,128.6
112,14,Groningen,119,14,232922,51.1,6.0
113,1729,Gulpen-Wittem,28,13,14176,197.5,91.7
114,158,Haaksbergen,24,11,24309,98.7,45.3
115,788,Haaren,29,15,14371,201.8,104.4
