,Gemeente,31/03/2020,05/04/2020,04/04/2020,03/04/2020,02/04/2020,01/04/2020
0,'s-Hertogenbosch,67.0,84.0,81.0,80.0,72.0,69.0
1,Aa en Hunze,1.0,1.0,1.0,1.0,1.0,1.0
2,Aalsmeer,5.0,7.0,7.0,7.0,6.0,5.0
3,Aalten,1.0,1.0,1.0,1.0,1.0,1.0
4,Achtkarspelen,0.0,0.0,0.0,0.0,0.0,0.0
5,Alblasserdam,2.0,5.0,5.0,4.0,3.0,2.0
6,Albrandswaard,4.0,5.0,5.0,5.0,5.0,5.0
7,Alkmaar,19.0,34.0,33.0,28.0,24.0,21.0
8,Almelo,8.0,14.0,13.0,13.0,12.0,10.0
9,Almere,46.0,77.0,72.0,67.0,61.0,50.0
10,Alphen aan den Rijn,29.0,38.0,37.0,36.0,33.0,32.0
11,Alphen-Chaam,9.0,11.0,11.0,10.0,10.0,9.0
12,Altena,17.0,21.0,21.0,21.0,19.0,19.0
13,Ameland,0.0,0.0,0.0,0.0,0.0,0.0
14,Amersfoort,24.0,36.0,34.0,31.0,28.0,24.0
15,Amstelveen,28.0,37.0,37.0,33.0,31.0,31.0
16,Amsterdam,244.0,323.0,306.0,286.0,263.0,246.0
17,Apeldoorn,19.0,28.0,26.0,24.0,22.0,22.0
18,Appingedam,1.0,2.0,2.0,1.0,1.0,1.0
19,Arnhem,28.0,40.0,39.0,37.0,33.0,30.0
20,Assen,5.0,7.0,7.0,7.0,7.0,7.0
21,Asten,4.0,8.0,8.0,7.0,6.0,5.0
22,Baarle-Nassau,1.0,1.0,1.0,1.0,1.0,1.0
23,Baarn,2.0,7.0,7.0,7.0,4.0,2.0
24,Barendrecht,16.0,21.0,21.0,20.0,18.0,17.0
25,Barneveld,5.0,9.0,9.0,8.0,8.0,8.0
26,Beek,0.0,10.0,10.0,10.0,7.0,0.0
27,Beekdaelen,12.0,32.0,29.0,28.0,28.0,12.0
28,Beemster,2.0,4.0,4.0,2.0,2.0,2.0
29,Beesel,10.0,11.0,11.0,11.0,11.0,10.0
30,Berg en Dal,15.0,25.0,23.0,21.0,19.0,17.0
31,Bergeijk,5.0,9.0,9.0,7.0,5.0,5.0
32,Bergen (L.),3.0,4.0,3.0,3.0,3.0,3.0
33,Bergen (NH.),8.0,11.0,11.0,11.0,11.0,10.0
34,Bergen op Zoom,11.0,14.0,14.0,14.0,13.0,13.0
35,Berkelland,1.0,1.0,1.0,1.0,1.0,1.0
36,Bernheze,57.0,70.0,69.0,68.0,65.0,61.0
37,Best,18.0,24.0,24.0,24.0,21.0,19.0
38,Beuningen,12.0,15.0,15.0,15.0,14.0,12.0
39,Beverwijk,5.0,10.0,9.0,8.0,7.0,7.0
40,Bladel,7.0,12.0,12.0,11.0,11.0,10.0
41,Blaricum,1.0,5.0,5.0,5.0,5.0,2.0
42,Bloemendaal,3.0,4.0,4.0,4.0,3.0,3.0
43,Bodegraven-Reeuwijk,2.0,5.0,5.0,4.0,3.0,3.0
44,Boekel,21.0,27.0,27.0,27.0,26.0,23.0
45,Borger-Odoorn,1.0,2.0,2.0,2.0,1.0,1.0
46,Borne,10.0,13.0,13.0,12.0,10.0,10.0
47,Borsele,3.0,3.0,3.0,3.0,3.0,3.0
48,Boxmeer,8.0,14.0,13.0,12.0,11.0,10.0
49,Boxtel,9.0,11.0,11.0,11.0,9.0,9.0
50,Breda,113.0,126.0,126.0,125.0,121.0,118.0
51,Brielle,5.0,7.0,7.0,5.0,5.0,5.0
52,Bronckhorst,1.0,1.0,1.0,1.0,1.0,1.0
53,Brummen,3.0,6.0,6.0,6.0,5.0,4.0
54,Brunssum,9.0,25.0,24.0,23.0,21.0,9.0
55,Bunnik,4.0,6.0,5.0,5.0,4.0,4.0
56,Bunschoten,1.0,3.0,2.0,2.0,2.0,2.0
57,Buren,5.0,7.0,6.0,6.0,5.0,5.0
58,Capelle aan den IJssel,20.0,23.0,23.0,23.0,23.0,22.0
59,Castricum,8.0,12.0,12.0,11.0,8.0,8.0
60,Coevorden,5.0,7.0,7.0,6.0,6.0,6.0
61,Cranendonck,28.0,44.0,44.0,41.0,38.0,35.0
62,Cuijk,5.0,7.0,6.0,6.0,6.0,6.0
63,Culemborg,13.0,19.0,18.0,17.0,17.0,15.0
64,Dalfsen,7.0,10.0,10.0,9.0,9.0,7.0
65,Dantumadiel,0.0,2.0,2.0,1.0,1.0,0.0
66,De Bilt,11.0,17.0,16.0,15.0,13.0,13.0
67,De Fryske Marren,11.0,12.0,12.0,11.0,11.0,11.0
68,De Ronde Venen,11.0,18.0,17.0,17.0,16.0,12.0
69,De Wolden,2.0,2.0,2.0,2.0,2.0,2.0
70,Delft,19.0,27.0,25.0,23.0,23.0,22.0
71,Delfzijl,4.0,5.0,4.0,4.0,4.0,4.0
72,Den Helder,6.0,8.0,7.0,6.0,6.0,6.0
73,Deurne,34.0,44.0,44.0,43.0,39.0,37.0
74,Deventer,21.0,26.0,26.0,25.0,25.0,22.0
75,Diemen,4.0,4.0,4.0,4.0,4.0,4.0
76,Dinkelland,11.0,16.0,16.0,15.0,15.0,13.0
77,Doesburg,3.0,4.0,3.0,3.0,3.0,3.0
78,Doetinchem,5.0,6.0,6.0,6.0,5.0,5.0
79,Dongen,7.0,11.0,11.0,10.0,10.0,7.0
80,Dordrecht,26.0,46.0,45.0,40.0,32.0,30.0
81,Drechterland,1.0,1.0,1.0,1.0,1.0,1.0
82,Drimmelen,14.0,14.0,14.0,14.0,14.0,14.0
83,Dronten,8.0,15.0,15.0,12.0,12.0,10.0
84,Druten,12.0,16.0,16.0,16.0,13.0,13.0
85,Duiven,4.0,5.0,5.0,4.0,4.0,4.0
86,Echt-Susteren,20.0,25.0,23.0,23.0,22.0,22.0
87,Edam-Volendam,10.0,14.0,14.0,11.0,10.0,10.0
88,Ede,24.0,37.0,34.0,31.0,31.0,29.0
89,Eemnes,1.0,1.0,1.0,1.0,1.0,1.0
90,Eersel,11.0,18.0,18.0,16.0,15.0,13.0
91,Eijsden-Margraten,6.0,32.0,29.0,25.0,24.0,6.0
92,Eindhoven,46.0,87.0,87.0,79.0,69.0,62.0
93,Elburg,2.0,5.0,4.0,4.0,4.0,4.0
94,Emmen,6.0,9.0,9.0,6.0,6.0,6.0
95,Enkhuizen,13.0,14.0,14.0,14.0,14.0,14.0
96,Enschede,24.0,37.0,34.0,32.0,28.0,28.0
97,Epe,7.0,11.0,11.0,10.0,10.0,10.0
98,Ermelo,8.0,12.0,12.0,11.0,11.0,9.0
99,Etten-Leur,21.0,31.0,31.0,29.0,26.0,23.0
100,Geertruidenberg,7.0,9.0,9.0,9.0,8.0,7.0
101,Geldrop-Mierlo,9.0,18.0,18.0,18.0,13.0,10.0
102,Gemert-Bakel,48.0,61.0,61.0,59.0,57.0,56.0
103,Gennep,9.0,12.0,11.0,11.0,11.0,11.0
104,Gilze en Rijen,13.0,15.0,15.0,15.0,15.0,13.0
105,Goeree-Overflakkee,24.0,35.0,33.0,32.0,29.0,26.0
106,Goes,5.0,8.0,8.0,8.0,7.0,6.0
107,Goirle,16.0,21.0,20.0,20.0,19.0,17.0
108,Gooise Meren,10.0,16.0,16.0,15.0,15.0,15.0
109,Gorinchem,9.0,11.0,10.0,10.0,10.0,10.0
