,Gemeente,28/03/2020,27/03/2020,26/03/2020,25/03/2020,24/03/2020,23/03/2020,22/03/2020,21/03/2020,20/03/2020,19/03/2020,18/03/2020,17/03/2020,16/03/2020,15/03/2020,14/03/2020,13/03/2020,12/03/2020,11/03/2020,10/03/2020,09/03/2020,08/03/2020
0,Unknown,279.0,265.0,237.0,213.0,200.0,184.0,155.0,137.0,112.0,89.0,87.0,72.0,70.0,58.0,37.0,28.0,14.0,6.0,2.0,1.0,2.0
1,s-Gravenhage,161.0,124.0,103.0,81.0,63.0,53.0,47.0,44.0,36.0,27.0,21.0,17.0,14.0,10.0,9.0,8.0,7.0,7.0,3.0,2.0,2.0
2,'s-Hertogenbosch,117.0,108.0,87.0,75.0,67.0,60.0,55.0,45.0,38.0,35.0,30.0,24.0,20.0,14.0,14.0,11.0,8.0,5.0,4.0,3.0,2.0
3,Aa en Hunze,4.0,3.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Aalsmeer,16.0,12.0,11.0,10.0,9.0,8.0,7.0,5.0,5.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,0.0,0.0
5,Aalten,3.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Achtkarspelen,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Alblasserdam,6.0,6.0,6.0,5.0,4.0,4.0,4.0,3.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Albrandswaard,23.0,21.0,19.0,18.0,18.0,14.0,12.0,8.0,5.0,4.0,4.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,Alkmaar,42.0,36.0,29.0,24.0,20.0,16.0,15.0,11.0,10.0,9.0,5.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
10,Almelo,15.0,14.0,12.0,10.0,8.0,7.0,5.0,4.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11,Almere,48.0,39.0,32.0,28.0,21.0,18.0,14.0,11.0,5.0,5.0,4.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
12,Alphen aan den Rijn,35.0,32.0,30.0,22.0,20.0,17.0,17.0,15.0,13.0,10.0,9.0,6.0,6.0,6.0,6.0,4.0,3.0,2.0,1.0,1.0,1.0
13,Alphen-Chaam,21.0,19.0,19.0,16.0,15.0,14.0,9.0,7.0,6.0,6.0,6.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Altena,41.0,39.0,35.0,35.0,28.0,25.0,23.0,22.0,19.0,19.0,15.0,12.0,12.0,10.0,9.0,8.0,5.0,4.0,4.0,4.0,4.0
15,Ameland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Amersfoort,63.0,59.0,54.0,47.0,44.0,41.0,37.0,37.0,32.0,30.0,23.0,21.0,18.0,10.0,4.0,4.0,4.0,2.0,0.0,0.0,0.0
17,Amstelveen,63.0,52.0,46.0,35.0,33.0,29.0,27.0,26.0,22.0,13.0,7.0,6.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0
18,Amsterdam,477.0,411.0,351.0,297.0,250.0,203.0,188.0,161.0,127.0,85.0,61.0,56.0,39.0,31.0,31.0,20.0,11.0,8.0,8.0,4.0,4.0
19,Apeldoorn,52.0,49.0,39.0,34.0,29.0,26.0,17.0,16.0,13.0,11.0,10.0,7.0,7.0,3.0,3.0,2.0,2.0,1.0,0.0,0.0,0.0
20,Appingedam,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Arnhem,52.0,46.0,34.0,25.0,23.0,20.0,16.0,15.0,13.0,10.0,9.0,8.0,7.0,7.0,4.0,4.0,4.0,3.0,2.0,2.0,3.0
22,Assen,10.0,8.0,7.0,5.0,5.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Asten,10.0,8.0,6.0,6.0,6.0,5.0,5.0,5.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
